catalog_id,provider,program,mtss_tier,grade_band,grade_level,sequence_type,pathway_or_unit,unit_or_focus_area,lesson_or_item_number,item_title,item_type,recommended_role,default_duration_minutes,casel_competencies,pulse_skill_tags,behavior_support_function,licensed_content_key,implementation_status,source_url,notes
SS-CAT-0094,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 4,Lesson,Unit 3: Empathy & Kindness,Unit 3: Empathy & Kindness,14,Changing Your Mind,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Empathy & Kindness,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0095,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 4,Lesson,Unit 3: Empathy & Kindness,Unit 3: Empathy & Kindness,15,A New Point of View,Performance Task,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Empathy & Kindness,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0096,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 4,Lesson,Unit 4: Problem-Solving,Unit 4: Problem-Solving,16,A Good Problem-Solver,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Problem-Solving,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0097,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 4,Lesson,Unit 4: Problem-Solving,Unit 4: Problem-Solving,17,Saying It Respectfully,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Problem-Solving,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0098,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 4,Lesson,Unit 4: Problem-Solving,Unit 4: Problem-Solving,18,Exploring Outcomes,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Problem-Solving,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0099,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 4,Lesson,Unit 4: Problem-Solving,Unit 4: Problem-Solving,19,A Good Solution,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Problem-Solving,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0100,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 4,Lesson,Unit 4: Problem-Solving,Unit 4: Problem-Solving,20,STEP into Problem-Solving,Performance Task,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Problem-Solving,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0101,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 1: Growth Mindset & Goal-Setting,Unit 1: Growth Mindset & Goal-Setting,1,Let’s Dream Big!,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Responsible Decision-Making",SEL; behavior; school climate; Growth Mindset & Goal-Setting,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0102,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 1: Growth Mindset & Goal-Setting,Unit 1: Growth Mindset & Goal-Setting,2,The Power of a Good Goal,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Responsible Decision-Making",SEL; behavior; school climate; Growth Mindset & Goal-Setting,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0103,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 1: Growth Mindset & Goal-Setting,Unit 1: Growth Mindset & Goal-Setting,3,Habits for Success!,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Responsible Decision-Making",SEL; behavior; school climate; Growth Mindset & Goal-Setting,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0104,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 1: Growth Mindset & Goal-Setting,Unit 1: Growth Mindset & Goal-Setting,4,Overcoming Obstacles,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Responsible Decision-Making",SEL; behavior; school climate; Growth Mindset & Goal-Setting,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0105,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 1: Growth Mindset & Goal-Setting,Unit 1: Growth Mindset & Goal-Setting,5,Continuous Improvement,Performance Task,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Responsible Decision-Making",SEL; behavior; school climate; Growth Mindset & Goal-Setting,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0106,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 2: Emotion Management,Unit 2: Emotion Management,6,Strong Emotions,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Emotion Management,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0107,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 2: Emotion Management,Unit 2: Emotion Management,7,What Is Stress?,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Emotion Management,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0108,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 2: Emotion Management,Unit 2: Emotion Management,8,Planning for Change,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Emotion Management,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0109,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 2: Emotion Management,Unit 2: Emotion Management,9,What Can I Change?,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Emotion Management,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0110,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 2: Emotion Management,Unit 2: Emotion Management,10,Making a Change,Performance Task,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Emotion Management,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0111,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 3: Empathy & Kindness,Unit 3: Empathy & Kindness,11,Empathy in the Community,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Empathy & Kindness,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0112,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 3: Empathy & Kindness,Unit 3: Empathy & Kindness,12,What’s the Problem?,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Empathy & Kindness,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0113,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 3: Empathy & Kindness,Unit 3: Empathy & Kindness,13,A Different Point of View,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Empathy & Kindness,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0114,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 3: Empathy & Kindness,Unit 3: Empathy & Kindness,14,Community Solutions,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Empathy & Kindness,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0115,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 3: Empathy & Kindness,Unit 3: Empathy & Kindness,15,Your Solution,Performance Task,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Empathy & Kindness,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0116,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 4: Problem-Solving,Unit 4: Problem-Solving,16,Beginning to STEP,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Problem-Solving,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0117,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 4: Problem-Solving,Unit 4: Problem-Solving,17,When? Where? Who?,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Problem-Solving,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0118,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 4: Problem-Solving,Unit 4: Problem-Solving,18,Solutions Web,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Problem-Solving,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0119,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 4: Problem-Solving,Unit 4: Problem-Solving,19,Let’s Reflect,Core Lesson,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Problem-Solving,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0120,Committee for Children / Second Step,Second Step Elementary Digital,Tier 1 Universal,K-5,Grade 5,Lesson,Unit 4: Problem-Solving,Unit 4: Problem-Solving,20,Putting It All Together,Performance Task,Classroom Teacher / Advisory Teacher,25,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Problem-Solving,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0121,Committee for Children / Second Step,Second Step Middle School Digital,Tier 1 Universal,6-8,Grade 6,Lesson,Unit 1: Mindsets & Goals,Unit 1: Mindsets & Goals,1,A Soundtrack for Success,Core Lesson,Classroom Teacher / Advisory Teacher,30,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Mindsets & Goals,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0122,Committee for Children / Second Step,Second Step Middle School Digital,Tier 1 Universal,6-8,Grade 6,Lesson,Unit 1: Mindsets & Goals,Unit 1: Mindsets & Goals,2,How to Grow Your Brain,Core Lesson,Classroom Teacher / Advisory Teacher,30,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Mindsets & Goals,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0123,Committee for Children / Second Step,Second Step Middle School Digital,Tier 1 Universal,6-8,Grade 6,Lesson,Unit 1: Mindsets & Goals,Unit 1: Mindsets & Goals,3,Trying New Strategies,Core Lesson,Classroom Teacher / Advisory Teacher,30,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Mindsets & Goals,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0124,Committee for Children / Second Step,Second Step Middle School Digital,Tier 1 Universal,6-8,Grade 6,Lesson,Unit 1: Mindsets & Goals,Unit 1: Mindsets & Goals,4,Making Goals Specific,Core Lesson,Classroom Teacher / Advisory Teacher,30,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Mindsets & Goals,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0125,Committee for Children / Second Step,Second Step Middle School Digital,Tier 1 Universal,6-8,Grade 6,Lesson,Unit 1: Mindsets & Goals,Unit 1: Mindsets & Goals,5,Breaking Down Your Goals,Core Lesson,Classroom Teacher / Advisory Teacher,30,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Mindsets & Goals,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0126,Committee for Children / Second Step,Second Step Middle School Digital,Tier 1 Universal,6-8,Grade 6,Lesson,Unit 1: Mindsets & Goals,Unit 1: Mindsets & Goals,6,Monitoring Your Progress,Core Lesson,Classroom Teacher / Advisory Teacher,30,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Mindsets & Goals,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0127,Committee for Children / Second Step,Second Step Middle School Digital,Tier 1 Universal,6-8,Grade 6,Lesson,Unit 1: Mindsets & Goals,Unit 1: Mindsets & Goals,7,Bringing It All Together,Performance Task,Classroom Teacher / Advisory Teacher,30,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Mindsets & Goals,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0128,Committee for Children / Second Step,Second Step Middle School Digital,Tier 1 Universal,6-8,Grade 6,Lesson,Unit 2: Developing a Positive Sense of Self,Unit 2: Developing a Positive Sense of Self,8,What Are Guiding Principles?,Core Lesson,Classroom Teacher / Advisory Teacher,30,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Developing a Positive Sense of Self,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0129,Committee for Children / Second Step,Second Step Middle School Digital,Tier 1 Universal,6-8,Grade 6,Lesson,Unit 2: Developing a Positive Sense of Self,Unit 2: Developing a Positive Sense of Self,9,Your Guiding Principles,Core Lesson,Classroom Teacher / Advisory Teacher,30,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Developing a Positive Sense of Self,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0130,Committee for Children / Second Step,Second Step Middle School Digital,Tier 1 Universal,6-8,Grade 6,Lesson,Unit 2: Developing a Positive Sense of Self,Unit 2: Developing a Positive Sense of Self,10,Making Decisions,Core Lesson,Classroom Teacher / Advisory Teacher,30,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Developing a Positive Sense of Self,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0131,Committee for Children / Second Step,Second Step Middle School Digital,Tier 1 Universal,6-8,Grade 6,Lesson,Unit 2: Developing a Positive Sense of Self,Unit 2: Developing a Positive Sense of Self,11,Multiple Guiding Principles,Core Lesson,Classroom Teacher / Advisory Teacher,30,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Developing a Positive Sense of Self,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0132,Committee for Children / Second Step,Second Step Middle School Digital,Tier 1 Universal,6-8,Grade 6,Lesson,Unit 2: Developing a Positive Sense of Self,Unit 2: Developing a Positive Sense of Self,12,Thinking Short-Term and Long-Term,Core Lesson,Classroom Teacher / Advisory Teacher,30,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Developing a Positive Sense of Self,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0133,Committee for Children / Second Step,Second Step Middle School Digital,Tier 1 Universal,6-8,Grade 6,Lesson,Unit 2: Developing a Positive Sense of Self,Unit 2: Developing a Positive Sense of Self,13,Using Your Guiding Principles,Performance Task,Classroom Teacher / Advisory Teacher,30,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making",SEL; behavior; school climate; Developing a Positive Sense of Self,Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
SS-CAT-0134,Committee for Children / Second Step,Second Step Middle School Digital,Tier 1 Universal,6-8,Grade 6,Lesson,"Unit 3: Thoughts, Emotions & Decisions","Unit 3: Thoughts, Emotions & Decisions",14,What Emotions Tell You,Core Lesson,Classroom Teacher / Advisory Teacher,30,"Self-Awareness, Self-Management, Social Awareness, Relationship Skills, Responsible Decision-Making","SEL; behavior; school climate; Thoughts, Emotions & Decisions",Universal prevention / classroom climate,TO_BE_MAPPED_BY_LICENSED_ADMIN,Catalog only - map to licensed Second Step digital materials,https://cfccdn.blob.core.windows.net/static/pdf/scope-sequence/second-step-digital-k12-scope-and-sequence-full.pdf,Official lesson content not included; catalog row for Pulse EDU scheduling and tagging.
